Invoice Date,Month,Season,Product Name,Brand,Price,Discount Price,Quantity,Revenue
2024-01-13,January,Winter,Rice - Sona Masoori - Pack 2,BB Royal,141.05,121.57,0.25,30.3925
2024-05-05,May,Summer,Tomato - Pack 3,Fresho,80.48,55.45,5,277.25
2024-10-14,October,Festive,Potato - Pack 3,Fresho,23.93,21.91,3,65.73
2024-02-14,February,Winter,Eggs - Farm Tray - Pack 3,Fresho,17.75,13.63,24,327.12
2024-01-17,January,Winter,Frozen Peas,Fresho,0.56,0.45,2000,900
2024-10-28,October,Festive,Paneer - Fresh - Pack 3,Milky Mist,479.75,427.64,10,4276.4
2024-12-17,December,Festive,Tender Coconut Water,Fresho,0.21,0.18,750,135
2024-10-26,October,Festive,Bread - Whole Wheat,Harvest,25.93,23.71,2,47.42
2024-08-02,August,Monsoon,Bread - Whole Wheat - Pack 2,Harvest,72.08,52.29,5,261.45
2024-12-15,December,Festive,Olive Oil - Extra Virgin - Pack 2,BORGES,5.97,4.89,200,978
2024-10-01,October,Festive,Olive Oil - Extra Virgin - Pack 3,BORGES,5.74,4.32,500,2160
2024-03-22,March,Winter,Bread - Whole Wheat - Pack 3,Harvest,51.58,48.18,4,192.72
2024-06-23,June,Summer,Eggs - Farm Tray - Pack 3,Fresho,28.35,19.76,5,98.8
2024-10-28,October,Festive,Tomato,Fresho,64.71,45.4,2,90.8
2024-06-21,June,Summer,Carrot - Pack 2,Fresho,66.42,56.76,1,56.76
2024-11-18,November,Festive,Detergent - Powder - Pack 2,Surf,241.19,214.01,5,1070.05
2024-11-14,November,Festive,Frozen Peas - Pack 2,Fresho,0.26,0.21,250,52.5
2024-01-23,January,Winter,Rice - Sona Masoori - Pack 2,BB Royal,164.81,115.31,5,576.55
2024-03-04,March,Winter,Potato,Fresho,84.04,68.3,0.5,34.15
2024-07-12,July,Monsoon,Potato - Pack 2,Fresho,41.76,32.76,0.5,16.38
2024-11-07,November,Festive,Rice - Sona Masoori - Pack 3,BB Royal,80.27,69.14,2,138.28
2024-07-04,July,Monsoon,Olive Oil - Extra Virgin - Pack 3,BORGES,2.69,2.05,2000,4100
2024-02-05,February,Winter,Toothpaste - Colgate - Pack 2,Colgate,228.15,152.22,10,1522.2
2024-10-30,October,Festive,Tomato - Pack 3,Fresho,31.16,29.09,3,87.27
2024-02-10,February,Winter,Tomato - Pack 2,Fresho,75.19,60.64,0.5,30.32
2024-02-21,February,Winter,Potato - Pack 2,Fresho,70.28,55.75,2,111.5
2024-11-28,November,Festive,Paneer - Fresh - Pack 2,Milky Mist,445.12,404.09,3,1212.27
2024-07-05,July,Monsoon,Olive Oil - Extra Virgin - Pack 2,BORGES,4.9,4.07,500,2035
2024-11-15,November,Festive,Milk - Full Cream,Amul,0.03,0.03,1000,30
2024-11-04,November,Festive,Frozen Peas - Pack 2,Fresho,1.35,0.97,500,485
2024-02-06,February,Winter,Maggi Noodles - Pack 3,MAGGI,0.52,0.44,100,44
2024-03-28,March,Winter,Rice - Sona Masoori - Pack 2,BB Royal,79.14,56.81,3,170.43
